System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
22:15:29:604,1203230938459880,38.0239,3399,59.4206,1876.5126,521.2535,49.2597,1509.0358,419.1766,0.0000,0.0016,0.0004,
22:15:30:605,1203234140490560,39.0245,3399,60.1268,1936.6505,537.9585,50.0405,1559.0856,433.0793,0.0000,0.0016,0.0004,
22:15:31:605,1203237342541835,40.0251,3399,59.7283,1996.3903,554.5529,49.4253,1608.5204,446.8112,0.0000,0.0016,0.0004,
22:15:32:606,1203240544594824,41.0258,3399,58.7731,2055.1747,570.8819,48.5339,1657.0636,460.2954,0.0000,0.0016,0.0004,
22:15:33:607,1203243746633675,42.0264,3399,59.3998,2114.5858,587.3849,49.2209,1706.2938,473.9705,0.0000,0.0016,0.0004,
22:15:34:607,1203246948657977,43.0271,3399,59.7790,2174.3759,603.9933,49.6442,1755.9472,487.7631,0.0000,0.0016,0.0004,
22:15:35:608,1203250150730015,44.0277,3399,60.0822,2234.4700,620.6861,49.8644,1805.8214,501.6171,0.0000,0.0016,0.0004,
22:15:36:608,1203253352768968,45.0283,3399,59.8819,2294.3631,637.3231,49.6707,1855.5014,515.4171,0.0000,0.0016,0.0004,
22:15:37:609,1203256554823024,46.0290,3399,58.9001,2353.2744,653.6873,48.6728,1904.1834,528.9398,0.0000,0.0016,0.0004,
22:15:38:610,1203259756839054,47.0296,3399,59.5127,2412.7980,670.2217,49.3630,1953.5555,542.6543,0.0000,0.0016,0.0004,
22:15:39:610,1203262958851449,48.0303,3399,59.7811,2472.5900,686.8305,49.6536,2003.2181,556.4495,0.0000,0.0016,0.0004,
22:15:40:611,1203266160881242,49.0309,3400,60.1442,2532.7452,703.5403,49.9419,2053.1693,570.3248,0.0000,0.0016,0.0004,
22:15:41:612,1203269362913861,50.0315,3399,60.0869,2592.8433,720.2343,49.9644,2103.1429,584.2064,0.0000,0.0016,0.0004,
22:15:42:612,1203272565054835,51.0322,3399,59.4557,2652.3121,736.7534,49.2236,2152.3774,597.8826,0.0000,0.0016,0.0004,
22:15:43:613,1203275767106330,52.0328,3399,59.2428,2711.5660,753.2128,49.0350,2201.4215,611.5060,0.0000,0.0016,0.0004,
22:15:44:614,1203278969100366,53.0335,3399,59.7881,2771.3647,769.8235,49.6772,2251.1075,625.3077,0.0000,0.0016,0.0004,
22:15:45:614,1203282171113265,54.0341,3399,60.3123,2831.6879,786.5800,50.1192,2301.2358,639.2322,0.0000,0.0016,0.0004,
22:15:46:615,1203285373124808,55.0347,3399,60.0774,2891.7762,803.2712,49.9185,2351.1634,653.1009,0.0000,0.0016,0.0004,
22:15:47:616,1203288575254548,56.0354,3399,60.0489,2951.8382,819.9551,49.8479,2401.0222,666.9506,0.0000,0.0016,0.0004,
22:15:48:616,1203291777279100,57.0360,3399,59.2808,3011.1298,836.4250,49.0463,2450.0774,680.5771,0.0000,0.0016,0.0004,
22:15:49:617,1203294979346428,58.0367,3399,59.3467,3070.4877,852.9133,49.1868,2499.2735,694.2426,0.0000,0.0016,0.0004,
22:15:50:617,1203298181360261,59.0373,3399,59.6113,3130.1099,869.4750,49.4591,2548.7416,707.9838,0.0000,0.0016,0.0004,
22:15:51:618,1203301383374042,60.0379,3399,60.0807,3190.2015,886.1671,49.8593,2598.6100,721.8361,0.0000,0.0016,0.0004,
22:15:52:619,1203304585436656,61.0386,3399,59.8749,3250.0878,902.8022,49.7589,2648.3784,735.6607,0.0000,0.0016,0.0004,
22:15:53:619,1203307787477920,62.0392,3399,59.9355,3310.0347,919.4541,49.6365,2698.0243,749.4512,0.0000,0.0016,0.0004,
22:15:54:620,1203310989513852,63.0399,3399,59.1920,3369.2379,935.8994,48.9883,2747.0219,763.0616,0.0000,0.0016,0.0004,
22:15:55:621,1203314191524189,64.0405,3400,59.5820,3428.8308,952.4530,49.4375,2796.4684,776.7968,0.0000,0.0016,0.0004,
