System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
18:58:54:49,1165485219062443,1.0005,3587,22.1059,22.1075,6.1410,12.9519,12.9528,3.5980,0.0000,0.0000,0.0000,
18:58:55:49,1165488421179552,2.0012,3591,20.1925,42.3048,11.7513,11.7087,24.6643,6.8512,0.0000,0.0000,0.0000,
18:58:56:50,1165491623136148,3.0018,3587,19.9771,62.2855,17.3015,11.5725,36.2389,10.0664,0.0000,0.0000,0.0000,
18:58:57:51,1165494825069565,4.0024,3595,20.0608,82.3499,22.8750,11.6704,47.9113,13.3087,0.0000,0.0000,0.0000,
18:58:58:51,1165498027002609,5.0030,3600,19.9373,102.2907,28.4141,11.5618,59.4752,16.5209,0.0000,0.0000,0.0000,
18:58:59:52,1165501228975633,6.0036,3590,19.9312,122.2256,33.9516,11.5488,71.0261,19.7295,0.0000,0.0000,0.0000,
18:59:00:52,1165504430911723,7.0042,3581,20.0231,142.2523,39.5145,11.6375,82.6656,22.9627,0.0000,0.0000,0.0000,
18:59:01:53,1165507632972631,8.0049,3599,20.0320,162.2878,45.0800,11.6682,94.3359,26.2044,0.0000,0.0000,0.0000,
18:59:02:54,1165510834925841,9.0055,3600,20.5806,182.8721,50.7978,12.2989,106.6370,29.6214,0.0000,0.0000,0.0000,
18:59:03:54,1165514036934298,10.0061,3400,52.6088,235.4906,65.4141,42.9140,149.5589,41.5441,0.0000,0.0000,0.0000,
18:59:04:55,1165517239063761,11.0068,3399,60.3719,295.8757,82.1877,50.5470,200.1169,55.5880,0.0000,0.0000,0.0000,
18:59:05:56,1165520441134294,12.0074,3474,60.8287,356.7167,99.0880,51.0765,251.2038,69.7788,0.0000,0.0000,0.0000,
18:59:06:56,1165523643165536,13.0081,3399,59.4114,416.1392,115.5942,49.3884,300.6014,83.5004,0.0015,0.0015,0.0004,
18:59:07:57,1165526845293559,14.0087,3564,52.4825,468.6325,130.1757,42.6686,343.2788,95.3552,0.0000,0.0015,0.0004,
18:59:08:58,1165530047437767,15.0094,3448,23.0413,491.6788,136.5775,14.5185,357.8004,99.3890,0.0000,0.0015,0.0004,
18:59:09:58,1165533249526542,16.0101,3399,59.5026,551.1937,153.1094,49.4831,407.2937,113.1371,0.0000,0.0015,0.0004,
18:59:10:59,1165536451576453,17.0107,3522,57.5786,608.7842,169.1067,47.5225,454.8260,126.3406,0.0000,0.0015,0.0004,
18:59:11:60,1165539653598193,18.0113,3399,29.3292,638.1187,177.2552,20.4801,475.3098,132.0305,0.0000,0.0015,0.0004,
18:59:12:60,1165542855670995,19.0120,3399,59.4246,697.5550,193.7653,49.3988,524.7183,145.7551,0.0000,0.0015,0.0004,
18:59:13:61,1165546057887982,20.0127,3474,59.3081,756.8756,210.2432,49.2032,573.9319,159.4255,0.0000,0.0015,0.0004,
18:59:14:62,1165549259978082,21.0133,3399,53.8475,810.7340,225.2039,43.7709,617.7117,171.5866,0.0000,0.0015,0.0004,
18:59:15:62,1165552462009826,22.0140,3399,59.1769,869.9219,241.6450,49.0844,666.8052,185.2237,0.0000,0.0015,0.0004,
18:59:16:63,1165555664044281,23.0146,3399,59.4452,929.3781,258.1606,49.3432,716.1575,198.9326,0.0000,0.0015,0.0004,
18:59:17:63,1165558866072497,24.0152,3399,59.3048,988.6941,274.6372,49.1750,765.3418,212.5949,0.0000,0.0015,0.0004,
18:59:18:64,1165562068077404,25.0159,3399,58.9551,1047.6598,291.0166,48.8249,814.1755,226.1599,0.0000,0.0015,0.0004,
18:59:19:65,1165565270205896,26.0165,3399,59.5037,1107.1763,307.5490,49.4861,863.6723,239.9090,0.0000,0.0015,0.0004,
18:59:20:65,1165568472263691,27.0172,3399,59.4613,1166.6492,324.0692,49.2988,912.9807,253.6058,0.0000,0.0015,0.0004,
18:59:21:66,1165571674304802,28.0178,3399,58.9037,1225.5639,340.4344,48.7269,961.7168,267.1436,0.0000,0.0015,0.0004,
18:59:22:67,1165574876332767,29.0185,3399,59.0112,1284.5861,356.8295,48.9298,1010.6556,280.7377,0.0000,0.0015,0.0004,
18:59:23:67,1165578078373221,30.0191,3399,59.6125,1344.2098,373.3916,49.4625,1060.1275,294.4799,0.0000,0.0015,0.0004,
18:59:24:68,1165581280439069,31.0197,3399,59.8152,1404.0368,390.0102,49.6252,1109.7625,308.2673,0.0000,0.0015,0.0004,
18:59:25:69,1165584482481305,32.0204,3399,58.9371,1462.9849,406.3847,48.7382,1158.5097,321.8083,0.0000,0.0015,0.0004,
18:59:26:69,1165587684561344,33.0210,3399,59.2709,1522.2673,422.8520,49.1289,1207.6482,335.4578,0.0000,0.0015,0.0004,
18:59:27:70,1165590886636144,34.0217,3399,59.5619,1581.8411,439.4003,49.4363,1257.0944,349.1929,0.0000,0.0015,0.0004,
