System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
22:20:35:786,1132182875977838,38.3477,3399,54.0543,1169.1472,324.7631,43.9293,849.6414,236.0115,0.0000,0.0017,0.0005,
22:20:36:786,1132186078150300,39.3484,3399,53.5391,1222.6978,339.6383,43.4311,893.0818,248.0783,0.0000,0.0017,0.0005,
22:20:37:787,1132189280228691,40.3490,3399,53.7377,1276.4455,354.5682,43.6106,936.7006,260.1946,0.0000,0.0017,0.0005,
22:20:38:788,1132192482452078,41.3497,3399,54.0786,1330.5366,369.5935,43.9636,980.6743,272.4095,0.0000,0.0017,0.0005,
22:20:39:788,1132195684552523,42.3503,3399,53.6684,1384.2153,384.5043,43.5483,1024.2310,284.5086,0.0000,0.0017,0.0005,
22:20:40:789,1132198886663926,43.3510,3399,53.3571,1437.5827,399.3285,43.2350,1067.4744,296.5207,0.0000,0.0017,0.0005,
22:20:41:790,1132202088750786,44.3516,3399,53.7756,1491.3683,414.2690,43.6547,1111.1373,308.6492,0.0000,0.0017,0.0005,
22:20:42:790,1132205290855677,45.3523,3399,53.6796,1545.0583,429.1829,43.5865,1154.7322,320.7589,0.0000,0.0017,0.0005,
22:20:43:791,1132208493100404,46.3530,3399,53.7004,1598.7715,444.1032,43.5867,1198.3292,332.8692,0.0000,0.0017,0.0005,
22:20:44:792,1132211695199909,47.3536,3399,54.0688,1652.8506,459.1252,43.9413,1242.2789,345.0775,0.0000,0.0017,0.0005,
22:20:45:792,1132214897272275,48.3542,3399,53.7477,1706.6082,474.0578,43.6262,1285.9131,357.1981,0.0000,0.0017,0.0005,
22:20:46:793,1132218099419784,49.3549,3399,53.5392,1760.1577,488.9327,43.4317,1329.3532,369.2648,0.0000,0.0017,0.0005,
22:20:47:794,1132221301494995,50.3555,3399,53.9651,1814.1329,503.9258,43.8738,1373.2352,381.4542,0.0000,0.0017,0.0005,
