System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
18:45:08:618,537847174570734,45.0333,3399,36.9150,1906.9349,529.7041,28.7400,1524.9340,423.5928,0.0000,0.0011,0.0003,
18:45:09:618,537850376667255,46.0339,3399,56.8549,1963.8004,545.5001,46.9180,1571.8608,436.6280,0.0000,0.0011,0.0003,
18:45:10:619,537853578793939,47.0346,3399,56.2132,2020.0245,561.1179,46.2026,1618.0724,449.4646,0.0000,0.0011,0.0003,
18:45:11:620,537856781114843,48.0353,3472,56.2045,2076.2431,576.7342,46.2097,1664.2936,462.3038,0.0000,0.0011,0.0003,
18:45:12:620,537859983228240,49.0359,3399,46.8031,2123.0551,589.7375,37.4679,1701.7686,472.7135,0.0000,0.0011,0.0003,
18:45:13:621,537863185371802,50.0366,3399,57.0921,2180.1582,605.5995,47.0748,1748.8525,485.7924,0.0000,0.0011,0.0003,
18:45:14:621,537866387472697,51.0372,3399,50.6694,2230.8372,619.6770,40.9021,1789.7623,497.1562,0.0015,0.0026,0.0007,
18:45:15:622,537869589563865,52.0379,3399,56.5948,2287.4426,635.4007,46.5408,1836.3118,510.0866,0.0000,0.0026,0.0007,
18:45:16:623,537872791832534,53.0386,3419,46.2902,2333.7441,648.2622,37.4222,1873.7431,520.4842,0.0000,0.0026,0.0007,
18:45:17:623,537875993953381,54.0392,3399,56.6617,2390.4169,664.0047,46.7151,1920.4673,533.4631,0.0000,0.0026,0.0007,
18:45:18:624,537879196069733,55.0399,3399,56.8795,2447.3073,679.8076,46.9517,1967.4280,546.5078,0.0000,0.0026,0.0007,
