timestamp, pstate, temperature.gpu, utilization.gpu [%], memory.used [MiB], clocks.current.video [MHz], clocks.current.graphics [MHz], clocks.current.sm [MHz], fan.speed [%], power.draw [W]
2016/11/22 21:32:35.094, P8, 38, 0 %, 42 MiB, 405 MHz, 135 MHz, 135 MHz, 20 %, 10.74 W
2016/11/22 21:32:36.097, P8, 38, 0 %, 42 MiB, 405 MHz, 135 MHz, 135 MHz, 20 %, 9.67 W
2016/11/22 21:32:37.101, P8, 38, 0 %, 42 MiB, 405 MHz, 135 MHz, 135 MHz, 20 %, 9.67 W
2016/11/22 21:32:38.105, P8, 38, 0 %, 42 MiB, 405 MHz, 135 MHz, 135 MHz, 20 %, 9.67 W
2016/11/22 21:32:39.108, P8, 38, 0 %, 42 MiB, 405 MHz, 135 MHz, 135 MHz, 20 %, 9.67 W
2016/11/22 21:32:40.112, P2, 39, 22 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.35 W
2016/11/22 21:32:41.114, P2, 39, 8 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.05 W
2016/11/22 21:32:42.117, P2, 39, 9 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.88 W
2016/11/22 21:32:43.119, P2, 39, 8 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.06 W
2016/11/22 21:32:44.122, P2, 39, 8 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.25 W
2016/11/22 21:32:45.124, P2, 40, 8 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.15 W
2016/11/22 21:32:46.127, P2, 39, 0 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.53 W
2016/11/22 21:32:47.130, P2, 39, 1 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.63 W
2016/11/22 21:32:48.132, P2, 40, 0 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.45 W
2016/11/22 21:32:49.134, P2, 40, 0 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.45 W
2016/11/22 21:32:50.138, P2, 40, 0 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.73 W
2016/11/22 21:32:51.141, P2, 40, 9 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.97 W
2016/11/22 21:32:52.143, P2, 40, 8 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.78 W
2016/11/22 21:32:53.145, P2, 40, 7 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.78 W
2016/11/22 21:32:54.148, P2, 40, 9 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.87 W
2016/11/22 21:32:55.150, P2, 40, 8 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.77 W
2016/11/22 21:32:56.152, P2, 40, 9 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.85 W
2016/11/22 21:32:57.155, P2, 40, 9 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.85 W
